type,completed_at,session_number,duration_minutes,task
Work,2025-04-14 00:53:00,2,25,Brainstorm Ideas
Short Break,2025-04-14 04:19:00,3,7,
Short Break,2025-04-14 05:55:00,4,4,
Short Break,2025-04-14 16:07:00,5,5,
Short Break,2025-04-14 17:00:00,6,4,
Short Break,2025-04-14 13:57:00,7,6,
Work,2025-04-14 09:23:00,8,26,Client Call
Work,2025-04-13 10:41:00,1,26,Refactor Code
Short Break,2025-04-13 01:21:00,2,4,
Work,2025-04-13 13:36:00,3,40,Brainstorm Ideas
Long Break,2025-04-13 13:17:00,4,10,
Work,2025-04-13 13:14:00,5,35,Email Review
Work,2025-04-12 17:56:00,1,37,Client Call
Short Break,2025-04-12 15:29:00,2,4,
Work,2025-04-12 03:23:00,3,25,Read Docs
Work,2025-04-12 04:13:00,4,40,Brainstorm Ideas
Long Break,2025-04-12 22:08:00,5,11,
Long Break,2025-04-12 00:42:00,6,14,
Long Break,2025-04-11 18:40:00,1,11,
Long Break,2025-04-11 11:27:00,2,19,
Work,2025-04-11 12:48:00,3,25,Test Features
Work,2025-04-11 12:21:00,4,25,Write Report
Work,2025-04-11 16:09:00,5,45,Database Cleanup
Short Break,2025-04-11 15:04:00,6,6,
Work,2025-04-11 19:56:00,7,43,Database Cleanup
Short Break,2025-04-11 16:45:00,8,7,
Short Break,2025-04-10 05:16:00,1,6,
Work,2025-04-10 07:10:00,2,33,Test Features
Short Break,2025-04-10 16:02:00,3,4,
Work,2025-04-10 12:21:00,4,33,Email Review
Work,2025-04-10 22:53:00,5,40,Test Features
Work,2025-04-10 15:24:00,6,42,Brainstorm Ideas
Work,2025-04-09 16:16:00,1,33,Email Review
Work,2025-04-09 06:05:00,2,35,Database Cleanup
Work,2025-04-09 23:26:00,3,33,Debug UI
Work,2025-04-09 20:34:00,4,42,Email Review
Work,2025-04-09 00:24:00,5,28,Brainstorm Ideas
Work,2025-04-08 13:26:00,1,32,Database Cleanup
Short Break,2025-04-08 19:17:00,2,6,
Work,2025-04-08 08:51:00,3,28,Code Review
Work,2025-04-08 16:39:00,4,29,Refactor Code
Short Break,2025-04-08 03:23:00,5,5,
Short Break,2025-04-08 16:32:00,6,7,
Work,2025-04-08 12:57:00,7,26,Write Report
Work,2025-04-08 10:06:00,8,25,Brainstorm Ideas
Short Break,2025-04-07 12:16:00,1,6,
Work,2025-04-07 03:31:00,2,34,Code Review
Work,2025-04-07 04:46:00,3,38,Read Docs
Work,2025-04-07 06:49:00,4,38,Test Features
Short Break,2025-04-07 05:14:00,5,5,
Work,2025-04-07 19:08:00,6,40,Debug UI
Work,2025-04-07 11:08:00,7,30,Write Report
Work,2025-04-07 06:15:00,8,33,Read Docs
Work,2025-04-07 08:58:00,9,44,Test Features
Work,2025-04-06 10:29:00,1,27,Brainstorm Ideas
Short Break,2025-04-06 20:36:00,2,5,
Work,2025-04-06 08:39:00,3,37,Client Call
Work,2025-04-06 09:53:00,4,31,Test Features
Work,2025-04-06 23:55:00,5,34,Database Cleanup
Work,2025-04-06 17:39:00,6,32,Debug UI
Work,2025-04-05 14:10:00,1,42,Code Review
Short Break,2025-04-05 03:05:00,2,4,
Work,2025-04-05 03:53:00,3,30,Database Cleanup
Short Break,2025-04-05 07:14:00,4,7,
Work,2025-04-05 14:18:00,5,35,Debug UI
Work,2025-04-04 09:50:00,1,26,Brainstorm Ideas
Work,2025-04-04 13:37:00,2,31,Test Features
Short Break,2025-04-04 10:43:00,3,5,
Work,2025-04-04 09:53:00,4,41,Write Report
Work,2025-04-04 07:30:00,5,36,Brainstorm Ideas
Short Break,2025-04-04 21:38:00,6,7,
Work,2025-04-04 07:29:00,7,30,Design Slides
Long Break,2025-04-04 11:44:00,8,20,
Work,2025-04-03 03:35:00,1,43,Debug UI
Work,2025-04-03 23:46:00,2,41,Brainstorm Ideas
Long Break,2025-04-03 02:36:00,3,16,
Work,2025-04-03 14:49:00,4,31,Client Call
Work,2025-04-03 08:48:00,5,30,Design Slides
Short Break,2025-04-03 10:02:00,6,6,
Work,2025-04-03 07:02:00,7,29,Refactor Code
Short Break,2025-04-03 19:24:00,8,5,
Work,2025-04-03 18:51:00,9,26,Code Review
Work,2025-04-03 14:32:00,10,41,Code Review
Short Break,2025-04-02 07:51:00,1,6,
Work,2025-04-02 14:38:00,2,32,Test Features
Long Break,2025-04-02 01:56:00,3,12,
Short Break,2025-04-02 21:05:00,4,7,
Work,2025-04-02 07:49:00,5,31,Read Docs
Short Break,2025-04-02 14:51:00,6,7,
Work,2025-04-02 18:57:00,7,42,Code Review
Short Break,2025-04-02 18:09:00,8,4,
Work,2025-04-02 03:42:00,9,43,Database Cleanup
Work,2025-04-02 05:00:00,10,27,Refactor Code
Work,2025-04-01 11:47:00,1,33,Write Report
Short Break,2025-04-01 00:28:00,2,7,
Work,2025-04-01 17:47:00,3,25,Test Features
Short Break,2025-04-01 18:41:00,4,5,
Work,2025-04-01 11:27:00,5,28,Debug UI
Work,2025-04-01 00:53:00,6,33,Database Cleanup
Work,2025-04-01 22:12:00,7,29,Write Report
Work,2025-04-01 13:09:00,8,36,Refactor Code
Work,2025-03-31 03:55:00,1,40,Design Slides
Work,2025-03-31 04:20:00,2,31,Debug UI
Short Break,2025-03-31 23:30:00,3,7,
Work,2025-03-31 12:15:00,4,37,Write Report
Work,2025-03-31 03:23:00,5,39,Email Review
Work,2025-03-31 08:20:00,6,34,Brainstorm Ideas
Work,2025-03-31 08:57:00,7,27,Debug UI
Long Break,2025-03-31 09:06:00,8,20,
Work,2025-03-30 00:22:00,1,36,Design Slides
Short Break,2025-03-30 09:31:00,2,6,
Long Break,2025-03-30 01:49:00,3,16,
Long Break,2025-03-30 06:42:00,4,13,
Work,2025-03-30 07:41:00,5,30,Design Slides
Short Break,2025-03-30 13:31:00,6,7,
Work,2025-03-30 00:33:00,7,27,Brainstorm Ideas
Short Break,2025-03-30 04:10:00,8,6,
Long Break,2025-03-30 11:49:00,9,17,
Work,2025-03-30 08:01:00,10,41,Client Call
Work,2025-03-29 16:37:00,1,29,Debug UI
Short Break,2025-03-29 07:11:00,2,7,
Work,2025-03-29 06:10:00,3,45,Email Review
Work,2025-03-29 17:23:00,4,32,Test Features
Work,2025-03-29 15:11:00,5,26,Read Docs
Work,2025-03-29 14:25:00,6,44,Database Cleanup
Work,2025-03-29 03:31:00,7,29,Test Features
Short Break,2025-03-29 09:28:00,8,5,
Short Break,2025-03-28 23:40:00,1,6,
Work,2025-03-28 01:15:00,2,31,Email Review
Work,2025-03-28 14:06:00,3,39,Debug UI
Short Break,2025-03-28 08:34:00,4,6,
Work,2025-03-28 19:48:00,5,41,Debug UI
Short Break,2025-03-28 21:35:00,6,7,
Long Break,2025-03-28 13:54:00,7,13,
Short Break,2025-03-27 03:41:00,1,6,
Work,2025-03-27 18:12:00,2,33,Read Docs
Work,2025-03-27 15:07:00,3,34,Database Cleanup
Work,2025-03-27 04:56:00,4,31,Read Docs
Work,2025-03-27 06:10:00,5,38,Refactor Code
Work,2025-03-27 04:49:00,6,25,Read Docs
Work,2025-03-26 10:43:00,1,32,Design Slides
Work,2025-03-26 00:19:00,2,29,Client Call
Short Break,2025-03-26 01:08:00,3,6,
Work,2025-03-26 08:36:00,4,44,Refactor Code
Work,2025-03-26 21:32:00,5,39,Database Cleanup
Short Break,2025-03-26 04:26:00,6,4,
Work,2025-03-25 20:12:00,1,27,Design Slides
Short Break,2025-03-25 03:57:00,2,4,
Short Break,2025-03-25 23:46:00,3,7,
Short Break,2025-03-25 23:23:00,4,4,
Short Break,2025-03-25 09:17:00,5,6,
Short Break,2025-03-25 19:13:00,6,7,
Work,2025-03-24 10:14:00,1,41,Refactor Code
Work,2025-03-24 17:01:00,2,26,Design Slides
Work,2025-03-24 16:12:00,3,32,Design Slides
Work,2025-03-24 13:58:00,4,32,Write Report
Work,2025-03-24 21:58:00,5,41,Code Review
Short Break,2025-03-24 14:43:00,6,5,
Short Break,2025-03-24 00:24:00,7,5,
Short Break,2025-03-24 01:02:00,8,5,
Work,2025-03-24 01:57:00,9,26,Design Slides
Short Break,2025-03-23 14:35:00,1,7,
Work,2025-03-23 14:08:00,2,29,Email Review
Short Break,2025-03-23 12:50:00,3,7,
Short Break,2025-03-23 20:57:00,4,7,
Short Break,2025-03-23 07:29:00,5,5,
Work,2025-03-23 14:01:00,6,39,Email Review
Long Break,2025-03-23 23:16:00,7,18,
Short Break,2025-03-22 08:15:00,1,7,
Work,2025-03-22 04:15:00,2,42,Client Call
Long Break,2025-03-22 15:39:00,3,10,
Short Break,2025-03-22 00:09:00,4,5,
Work,2025-03-22 13:10:00,5,38,Write Report
Short Break,2025-03-22 17:51:00,6,7,
Long Break,2025-03-21 22:38:00,1,14,
Work,2025-03-21 04:34:00,2,43,Brainstorm Ideas
Short Break,2025-03-21 10:02:00,3,4,
Work,2025-03-21 22:22:00,4,29,Design Slides
Work,2025-03-21 21:02:00,5,40,Code Review
Work,2025-03-20 09:03:00,1,35,Brainstorm Ideas
Work,2025-03-20 00:32:00,2,43,Read Docs
Work,2025-03-20 00:56:00,3,41,Refactor Code
Short Break,2025-03-20 06:10:00,4,6,
Short Break,2025-03-20 16:50:00,5,4,
Long Break,2025-03-20 01:54:00,6,19,
Work,2025-03-19 09:18:00,1,38,Write Report
Short Break,2025-03-19 13:12:00,2,6,
Work,2025-03-19 11:38:00,3,27,Refactor Code
Short Break,2025-03-19 02:44:00,4,5,
Work,2025-03-19 15:49:00,5,40,Debug UI
Work,2025-03-19 19:53:00,6,30,Write Report
Work,2025-03-19 03:30:00,7,38,Code Review
Work,2025-03-18 07:18:00,1,35,Design Slides
Short Break,2025-03-18 10:30:00,2,7,
Work,2025-03-18 11:55:00,3,41,Test Features
Work,2025-03-18 18:31:00,4,34,Debug UI
Long Break,2025-03-18 21:57:00,5,10,
Work,2025-03-18 17:42:00,6,38,Design Slides
Work,2025-03-18 08:54:00,7,39,Write Report
Short Break,2025-03-18 06:02:00,8,6,
Work,2025-03-18 07:23:00,9,27,Write Report
Work,2025-03-18 20:15:00,10,35,Code Review
Work,2025-03-17 19:52:00,1,30,Write Report
Work,2025-03-17 09:57:00,2,40,Write Report
Work,2025-03-17 19:25:00,3,40,Write Report
Short Break,2025-03-17 16:11:00,4,4,
Long Break,2025-03-17 05:24:00,5,13,
Work,2025-03-17 10:26:00,6,33,Test Features
Work,2025-03-17 17:24:00,7,42,Refactor Code
Short Break,2025-03-17 04:22:00,8,6,
Short Break,2025-03-16 20:47:00,1,7,
Work,2025-03-16 08:59:00,2,32,Client Call
Work,2025-03-16 06:36:00,3,39,Client Call
Work,2025-03-16 12:38:00,4,43,Code Review
Work,2025-03-16 07:01:00,5,30,Debug UI
Work,2025-03-16 04:43:00,6,34,Test Features
Short Break,2025-03-15 08:36:00,1,5,
Work,2025-03-15 09:27:00,2,27,Test Features
Short Break,2025-03-15 18:34:00,3,5,
Work,2025-03-15 14:46:00,4,25,Design Slides
Work,2025-03-15 01:59:00,5,39,Debug UI
Long Break,2025-03-15 06:10:00,6,17,
Work,2025-03-14 05:53:00,1,30,Client Call
Work,2025-03-14 17:05:00,2,26,Test Features
Work,2025-03-14 00:26:00,3,38,Database Cleanup
Work,2025-03-14 02:28:00,4,26,Debug UI
Work,2025-03-14 05:42:00,5,35,Email Review
Work,2025-03-14 12:02:00,6,40,Brainstorm Ideas
Short Break,2025-03-14 05:59:00,7,6,
Work,2025-03-14 17:02:00,8,33,Database Cleanup
Long Break,2025-03-14 02:08:00,9,15,
Short Break,2025-03-13 19:16:00,1,6,
Work,2025-03-13 11:48:00,2,32,Debug UI
Work,2025-03-13 23:10:00,3,27,Design Slides
Work,2025-03-13 21:34:00,4,25,Test Features
Work,2025-03-13 23:34:00,5,39,Brainstorm Ideas
Work,2025-03-12 04:23:00,1,37,Write Report
Work,2025-03-12 10:07:00,2,29,Brainstorm Ideas
Work,2025-03-12 20:14:00,3,32,Debug UI
Long Break,2025-03-12 18:19:00,4,19,
Work,2025-03-12 01:03:00,5,27,Write Report
Work,2025-03-12 18:14:00,6,37,Refactor Code
Work,2025-03-12 20:06:00,7,39,Code Review
Work,2025-03-12 02:57:00,8,27,Write Report
Work,2025-03-12 15:34:00,9,42,Code Review
Long Break,2025-03-11 12:49:00,1,13,
Work,2025-03-11 11:03:00,2,28,Client Call
Work,2025-03-11 23:53:00,3,32,Brainstorm Ideas
Short Break,2025-03-11 22:38:00,4,7,
Work,2025-03-11 00:17:00,5,26,Database Cleanup
Short Break,2025-03-11 18:27:00,6,7,
Long Break,2025-03-10 17:09:00,1,16,
Work,2025-03-10 20:53:00,2,39,Email Review
Work,2025-03-10 05:23:00,3,27,Client Call
Work,2025-03-10 05:25:00,4,43,Database Cleanup
Work,2025-03-10 06:55:00,5,26,Debug UI
Work,2025-03-10 18:23:00,6,35,Email Review
Work,2025-03-10 22:26:00,7,25,Write Report
Short Break,2025-03-09 16:41:00,1,7,
Work,2025-03-09 06:04:00,2,30,Write Report
Short Break,2025-03-09 09:15:00,3,5,
Short Break,2025-03-09 21:24:00,4,7,
Short Break,2025-03-09 08:19:00,5,4,
Work,2025-03-09 09:34:00,6,32,Read Docs
Short Break,2025-03-09 04:41:00,7,5,
Long Break,2025-03-09 07:00:00,8,12,
Work,2025-03-09 15:00:00,9,40,Read Docs
Short Break,2025-03-08 07:21:00,1,4,
Long Break,2025-03-08 10:44:00,2,14,
Short Break,2025-03-08 00:17:00,3,5,
Work,2025-03-08 09:08:00,4,44,Debug UI
Long Break,2025-03-08 23:00:00,5,19,
Work,2025-03-07 20:27:00,1,30,Client Call
Work,2025-03-07 04:23:00,2,30,Brainstorm Ideas
Long Break,2025-03-07 05:49:00,3,15,
Work,2025-03-07 01:11:00,4,39,Write Report
Work,2025-03-07 17:04:00,5,37,Email Review
Work,2025-03-07 02:00:00,6,29,Debug UI
Short Break,2025-03-06 05:47:00,1,6,
Short Break,2025-03-06 06:22:00,2,7,
Short Break,2025-03-06 08:02:00,3,6,
Work,2025-03-06 02:29:00,4,29,Client Call
Work,2025-03-06 06:15:00,5,25,Debug UI
Work,2025-03-06 17:30:00,6,40,Client Call
Work,2025-03-06 04:27:00,7,40,Database Cleanup
Work,2025-03-06 15:20:00,8,27,Code Review
Long Break,2025-03-06 02:05:00,9,14,
Short Break,2025-03-05 07:01:00,1,6,
Work,2025-03-05 13:25:00,2,28,Design Slides
Work,2025-03-05 16:18:00,3,35,Refactor Code
Work,2025-03-05 16:31:00,4,33,Code Review
Work,2025-03-05 16:33:00,5,37,Client Call
Work,2025-03-04 23:05:00,1,30,Code Review
Work,2025-03-04 09:53:00,2,28,Database Cleanup
Long Break,2025-03-04 17:44:00,3,11,
