session_type,start_time,end_time,duration_minutes,task,subtask,completed,resumed,focus_rating,intent_fulfilled,interrupted
Long Break,2025-06-05 15:33:17,2025-06-05 15:33:17,0.52,111111111,,1,0,,,0
Work,2025-06-05 15:33:17,2025-06-05 15:33:18,0.48,111111111,11121,1,0,,,0
Short Break,2025-06-05 15:33:18,2025-06-05 15:33:18,0.54,111111111,,1,0,,,0
Work,2025-06-05 15:33:18,2025-06-05 15:33:19,0.48,111111111,11121,1,0,,,0
Short Break,2025-06-05 15:33:19,2025-06-05 15:33:19,0.51,111111111,,1,0,,,0
Work,2025-06-05 15:33:19,2025-06-05 15:33:20,0.49,111111111,11121,1,0,,,0
Short Break,2025-06-05 15:33:20,2025-06-05 15:33:20,0.51,111111111,,1,0,,,0
Work,2025-06-05 15:33:20,2025-06-05 15:33:21,0.67,111111111,11121,1,0,,,0
Long Break,2025-06-05 15:33:21,2025-06-05 15:33:21,0.54,111111111,,1,0,,,0
Work,2025-06-05 15:33:21,2025-06-05 15:33:22,0.46,111111111,11121,1,0,,,0
Short Break,2025-06-05 15:33:22,2025-06-05 15:33:22,0.48,111111111,,1,0,,,0
Work,2025-06-05 15:33:22,2025-06-05 15:33:23,0.46,111111111,11121,1,0,,,0
Short Break,2025-06-05 15:33:23,2025-06-05 15:33:24,0.66,111111111,,1,0,,,0
Work,2025-06-05 15:33:37,2025-06-05 15:33:38,0.95,213,,1,0,,,0
Short Break,2025-06-05 15:33:38,2025-06-05 15:33:39,0.94,213,,1,0,,,0
Work,2025-06-05 15:33:39,2025-06-05 15:33:40,0.93,213,,1,0,,,0
Short Break,2025-06-05 15:33:40,2025-06-05 15:33:41,0.97,213,,1,0,,,0
Work,2025-06-05 15:33:41,2025-06-05 15:33:42,0.95,213,,1,0,,,0
Short Break,2025-06-05 15:33:42,2025-06-05 15:33:43,0.99,213,,1,0,,,0
Work,2025-06-05 15:33:43,2025-06-05 15:33:44,0.95,213,,1,0,,,0
Long Break,2025-06-05 15:33:44,2025-06-05 15:33:45,0.95,213,,1,0,,,0
Work,2025-06-05 15:33:45,2025-06-05 15:33:46,0.93,213,,1,0,,,0
Short Break,2025-06-05 15:33:46,2025-06-05 15:33:47,0.93,213,,1,0,,,0
Work,2025-06-05 15:33:47,2025-06-05 15:33:48,0.97,213,,1,0,,,0
Short Break,2025-06-05 15:33:48,2025-06-05 15:33:56,8.04,213,,1,0,,,0
Work,2025-06-05 15:33:56,2025-06-05 15:33:57,0.94,213,121,1,0,,,0
Short Break,2025-06-05 15:33:57,2025-06-05 15:33:58,0.93,213,,1,0,,,0
Work,2025-06-05 15:33:58,2025-06-05 15:33:59,0.95,213,121,1,0,,,0
Long Break,2025-06-05 15:33:59,2025-06-05 15:34:00,0.96,213,,1,0,,,0
Work,2025-06-05 15:34:00,2025-06-05 15:34:09,8.79,213,121,1,0,,,0
Short Break,2025-06-05 15:34:09,2025-06-05 15:34:10,0.94,213,,1,0,,,0
Work,2025-06-05 15:34:10,2025-06-05 15:34:10,0.93,213,111,1,0,,,0
Short Break,2025-06-05 15:34:11,2025-06-05 15:34:11,0.97,213,,1,0,,,0
Work,2025-06-05 15:34:11,2025-06-05 15:34:12,0.95,213,111,1,0,,,0
Short Break,2025-06-05 15:34:12,2025-06-05 15:34:13,0.92,213,,1,0,,,0
Work,2025-06-05 15:34:13,2025-06-05 15:34:14,0.92,213,111,1,0,,,0
Long Break,2025-06-05 15:34:14,2025-06-05 15:34:19,4.9,213,,1,0,,,0
Work,2025-06-05 15:34:19,2025-06-05 15:34:20,0.91,213,111,1,0,,,0
Short Break,2025-06-05 15:34:20,2025-06-05 15:34:21,0.49,213,,1,0,,,0
Work,2025-06-05 15:34:21,2025-06-05 15:34:21,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:21,2025-06-05 15:34:22,0.49,213,,1,0,,,0
Work,2025-06-05 15:34:22,2025-06-05 15:34:22,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:22,2025-06-05 15:34:23,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:23,2025-06-05 15:34:23,0.59,213,,1,0,,,0
Long Break,2025-06-05 15:34:23,2025-06-05 15:34:24,0.51,213,,1,0,,,0
Work,2025-06-05 15:34:24,2025-06-05 15:34:24,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:24,2025-06-05 15:34:25,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:25,2025-06-05 15:34:25,0.45,213,,1,0,,,0
Short Break,2025-06-05 15:34:25,2025-06-05 15:34:26,0.52,213,,1,0,,,0
Work,2025-06-05 15:34:26,2025-06-05 15:34:26,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:26,2025-06-05 15:34:27,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:27,2025-06-05 15:34:27,0.46,213,,1,0,,,0
Long Break,2025-06-05 15:34:27,2025-06-05 15:34:28,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:28,2025-06-05 15:34:28,0.45,213,,1,0,,,0
Short Break,2025-06-05 15:34:28,2025-06-05 15:34:29,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:29,2025-06-05 15:34:29,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:29,2025-06-05 15:34:30,0.5,213,,1,0,,,0
Work,2025-06-05 15:34:30,2025-06-05 15:34:30,0.46,213,,1,0,,,0
Short Break,2025-06-05 15:34:30,2025-06-05 15:34:31,0.52,213,,1,0,,,0
Work,2025-06-05 15:35:45,2025-06-05 15:35:46,0.95,132,,1,0,,,0
Short Break,2025-06-05 15:35:46,2025-06-05 15:35:46,0.48,132,,1,0,,,0
Work,2025-06-05 15:35:46,2025-06-05 15:35:47,0.47,132,,1,0,,,0
Short Break,2025-06-05 15:35:47,2025-06-05 15:35:47,0.47,132,,1,0,,,0
Work,2025-06-05 15:35:47,2025-06-05 15:35:48,0.46,132,,1,0,,,0
Short Break,2025-06-05 15:35:48,2025-06-05 15:35:48,0.49,132,,1,0,,,0
Work,2025-06-05 15:35:48,2025-06-05 15:35:49,0.48,132,,1,0,,,0
Long Break,2025-06-05 15:35:49,2025-06-05 15:35:49,0.51,132,,1,0,,,0
Work,2025-06-05 15:35:49,2025-06-05 15:35:50,0.48,132,,1,0,,,0
Short Break,2025-06-05 15:35:50,2025-06-05 15:35:51,0.61,132,,1,0,,,0
Work,2025-06-05 15:35:51,2025-06-05 15:35:51,0.64,132,,1,0,,,0
Short Break,2025-06-05 15:35:51,2025-06-05 15:35:52,0.49,132,,1,0,,,0
Work,2025-06-05 15:35:52,2025-06-05 15:35:52,0.64,132,,1,0,,,0
Short Break,2025-06-05 15:35:52,2025-06-05 15:35:53,0.53,132,,1,0,,,0
Work,2025-06-05 15:35:53,2025-06-05 15:35:53,0.46,132,,1,0,,,0
Long Break,2025-06-05 15:35:53,2025-06-05 15:35:54,0.49,132,,1,0,,,0
Work,2025-06-05 15:35:54,2025-06-05 15:35:54,0.51,,,1,0,,,0
Short Break,2025-06-05 15:35:54,2025-06-05 15:35:55,0.47,,,1,0,,,0
Work,2025-06-05 15:35:55,2025-06-05 15:35:55,0.46,,,1,0,,,0
Short Break,2025-06-05 15:35:55,2025-06-05 15:35:56,0.47,,,1,0,,,0
Work,2025-06-05 15:35:56,2025-06-05 15:35:56,0.54,,,1,0,,,0
Short Break,2025-06-05 15:35:56,2025-06-05 15:35:57,0.48,,,1,0,,,0
Work,2025-06-05 15:35:57,2025-06-05 15:35:57,0.46,,,1,0,,,0
Long Break,2025-06-05 15:35:57,2025-06-05 15:35:58,0.46,,,1,0,,,0
Work,2025-06-05 15:35:58,2025-06-05 15:35:58,0.46,,,1,0,,,0
Short Break,2025-06-05 15:35:58,2025-06-05 15:35:59,0.59,,,1,0,,,0
Work,2025-06-05 15:35:59,2025-06-05 15:35:59,0.58,,,1,0,,,0
Work,2025-06-05 15:37:27,2025-06-05 15:37:28,0.93,1232,,1,0,,,0
Short Break,2025-06-05 15:37:28,2025-06-05 15:37:28,0.45,1232,,1,0,,,0
Work,2025-06-05 16:50:49,2025-06-05 16:50:50,0.94,,,1,0,,,0
Short Break,2025-06-05 16:50:50,2025-06-05 16:50:50,0.48,,,1,0,,,0
Short Break,2025-06-05 16:50:50,2025-06-05 16:50:59,0,,,0,0,,,0
Work,2025-06-05 16:51:05,2025-06-05 16:51:07,0,,,0,0,,,0
Work,2025-06-05 16:51:31,2025-06-05 16:51:31,0.95,,,1,0,,,0
Short Break,2025-06-05 16:51:31,2025-06-05 16:51:32,0.48,,,1,0,,,0
Work,2025-06-05 16:55:55,2025-06-05 16:55:55,0.92,12313,1123,1,0,,,0
Work,2025-06-05 16:58:37,2025-06-05 16:58:38,0.97,12312313131313,1fffff,1,0,,,0
Short Break,2025-06-05 16:58:38,2025-06-05 16:58:38,0.46,12312313131313,,1,0,,,0
Work,2025-06-05 16:58:38,2025-06-05 16:58:39,0.49,12312313131313,,1,0,,,0
Short Break,2025-06-05 16:58:39,2025-06-05 16:58:39,0.49,12312313131313,,1,0,,,0
Work,2025-06-05 16:58:39,2025-06-05 16:58:40,0.48,12312313131313,,1,0,,,0
Short Break,2025-06-05 16:58:40,2025-06-05 16:58:40,0.49,12312313131313,,1,0,,,0
Work,2025-06-05 16:58:40,2025-06-05 16:58:41,0.49,12312313131313,,1,0,,,0
Work,2025-06-05 16:58:40,2025-06-05 16:58:48,7.35,12312313131313,,1,0,5,Partially,0
Work,2025-06-05 16:59:49,2025-06-05 16:59:50,0.94,1231323ad,31231,1,0,,,0
Work,2025-06-05 17:02:01,2025-06-05 17:02:02,0.97,Tria,132,1,0,,,0
